name_type,table_name,target_count
nearest_title,(v) 「總部及其他」分部主要包括本集團由總部履行的公司行政及投資職能以及提供融資租賃服務。,1
nearest_title,(一) 人員組成,1
nearest_title,(二)產品銷售分析,1
nearest_title,(附註 4)「其他」分類中所包含的業務有房地產租賃業務等。,1
nearest_title,"- 分部業績指各分部的損益,不包括銀行利息收入、未分配企業收入、未分配企業開支、投資物業的公允值變動、未分配融資成本及所得稅開支。此乃就資源分配及表現評估向主要經營決策者報告的方法。",1
nearest_title,"- 自動駕駛卡車業務取得重大進展。1)充分發揮研發協同效應,自動駕駛出租車與自動駕駛卡車平台實現 \(80\%\) 的技術架構共享。2)推出第四代自動駕駛卡車,自動駕駛套件(「ADK」)物料清單(「BOM」)成本較上一代降低 \(70\%\) ,目標於2026年底前啟動量產及首批部署。3)在廣東江門港完成自動駕駛卡車的全無人駕駛部署。4)在極端天氣條件下成功完成嚴格的 \(1 + \mathrm{N}\) 無人駕駛編隊測試,驗證了我們在多場景、多天氣條件下的運營能力。",1
nearest_title,"- 行業聚焦方向:繼續做深做強金融、保險等優勢領域的同時,重點拓展百行千業中最有潛力的場景,包括面向消費者的聯絡中心(Contact-Center) 場景,涵蓋客服、營銷信息確認、客户經營等。此外,我們將大力發展專業服務 (Professional•Service) 領域,整合法、商、財、稅資源,打造專家Agent 共享平台,提供全球化、模塊化的綜合解決方案。",1
nearest_title,- 財務報表及營運數據如下 -,1
nearest_title,"- 集團的旗艦公司九龍巴士(一九三三)有限公司(「九巴」)於2025年錄得除稅後盈利港幣3.607億元(2024年為港幣1.268億元)。2025年的車費收入因2025年1月5日起票價上調而增加。然而,這項正面影響大部分被載客量的下降及因加薪導致的員工成本增加所抵銷。其餘的改善則受惠於有利的外部因素,包括燃油價格下降導致燃油成本減少,以及隧道費下降。",1
nearest_title,1 收入,1
nearest_title,1) 分部收入及業績,1
nearest_title,1. 分部報告(續),1
nearest_title,1. 收益淨額分析,1
nearest_title,1. 營業收入、營業成本及毛利率分析,1
nearest_title,1.3 收入、資本支出及實現價格,1
nearest_title,10. 應收賬款,1
nearest_title,11. 營業額,1
nearest_title,13. 分部報告(續),1
nearest_title,1、按業務類型的各報告分部利潤(虧損)、資產及負債信息,1
nearest_title,2 收入及分部資料,1
